"순번","역명","평일","토요일","일요일"
"1","신도림","333873","298987","216886"
"2","동대문역사문화공원","251049","211456","150589"
"3","충무로","229882","194865","142150"
"4","종로3가","224539","196606","142525"
"5","사당","200985","180230","134354"
"6","고속터미널","194859","175702","120096"
"7","교대","182104","154046","98136"
"8","선릉","175262","132869","87621"
"9","서울역","141488","138754","108232"
"10","시청","120866","104257","78903"
"11","잠실","119826","94103","69450"
"12","합정","115604","96976","69333"
"13","대림","106577","85098","64075"
"14","을지3가","102428","84096","62281"
"15","왕십리","92386","77144","57027"
"16","건대입구","91046","83788","61085"
"17","동대문","86907","82370","58310"
"18","이수","74713","67033","48136"
"19","당산","73319","55693","40713"
"20","영등포구청","71838","55991","37574"
"21","삼각지","70858","64159","46470"
"22","창동","68732","57350","49183"
"23","동묘","61530","52958","41665"
"24","약수","61013","49823","35554"
"25","강남","54272","38270","24352"
"26","까치산","53969","43371","31865"
"27","신당","47441","39928","28039"
"28","을지4가","45592","36206","25499"
"29","노원","42565","37975","28851"
"30","홍대입구","41803","35231","28684"
"31","동작","39895","30998","22681"
"32","가락시장","39719","28468","21403"
"33","연신내","39078","33218","26982"
"34","양재","37648","31230","19572"
"35","수서","36173","26721","19056"
"36","충정로","34351","23565","16728"
"37","오금","30618","21748","14396"
"38","성수","26896","20748","15317"
"39","도곡","23394","18192","11998"
"40","신설동","22077","18994","13999"
"41","청량리","21073","55058","18905"
"42","불광","18249","15840","14222"
"43","옥수","14882","12755","10099"
"44","이촌","12802","46939","10681"